acc,sample_acc,biosample,sra_study,bioproject
ERR1857120,ERS1572626,SAMEA100883668,ERP021740,
ERR1857132,ERS1572627,SAMEA100884418,ERP021740,
ERR3955908,ERS2783634,SAMEA4965217,ERP111280,
ERR3955909,ERS2783635,SAMEA4965218,ERP111280,
ERR3955910,ERS2783636,SAMEA4965219,ERP111280,
ERR3955912,ERS2783638,SAMEA4965221,ERP111280,
ERR3928141,ERS4326896,SAMEA6562549,ERP119842,
ERR3927927,ERS4294333,SAMEA6529934,ERP119891,
ERR3927246,ERS4294336,SAMEA6529937,ERP119891,
ERR3927582,ERS4294341,SAMEA6529942,ERP119891,
ERR3927545,ERS4294341,SAMEA6529942,ERP119891,
ERR3927807,ERS4294343,SAMEA6529944,ERP119891,
ERR3927842,ERS4294348,SAMEA6529949,ERP119891,
ERR3927400,ERS4294349,SAMEA6529950,ERP119891,
ERR3927255,ERS4294352,SAMEA6529953,ERP119891,
ERR3927293,ERS4294354,SAMEA6529955,ERP119891,
ERR3927556,ERS4294360,SAMEA6529961,ERP119891,
ERR3927704,ERS4294360,SAMEA6529961,ERP119891,
ERR3927453,ERS4294368,SAMEA6529969,ERP119891,
ERR3927784,ERS4294369,SAMEA6529970,ERP119891,
ERR3927602,ERS4294371,SAMEA6529972,ERP119891,
ERR3927879,ERS4294373,SAMEA6529974,ERP119891,
ERR3927382,ERS4294374,SAMEA6529975,ERP119891,
ERR3927493,ERS4294374,SAMEA6529975,ERP119891,
ERR3927919,ERS4294386,SAMEA6529987,ERP119891,
ERR3927535,ERS4294390,SAMEA6529991,ERP119891,
ERR3927316,ERS4294393,SAMEA6529994,ERP119891,
ERR3966476,ERS4363517,SAMEA6599243,ERP120289,
ERR3966480,ERS4363521,SAMEA6599247,ERP120289,
ERR4173382,ERS4581192,SAMEA6853602,ERP121890,
ERR4173381,ERS4581192,SAMEA6853602,ERP121890,
ERR4276486,ERS4758521,SAMEA6990426,ERP122190,
ERR4276488,ERS4758522,SAMEA6990427,ERP122190,
ERR4276489,ERS4758523,SAMEA6990428,ERP122190,
ERR4276490,ERS4758524,SAMEA6990429,ERP122190,
ERR4276491,ERS4758525,SAMEA6990430,ERP122190,
ERR4276492,ERS4758526,SAMEA6990431,ERP122190,
ERR4276493,ERS4758527,SAMEA6990432,ERP122190,
ERR4276494,ERS4758528,SAMEA6990433,ERP122190,
ERR4276498,ERS4758529,SAMEA6990434,ERP122190,
ERR4276499,ERS4758530,SAMEA6990435,ERP122190,
ERR4276500,ERS4758531,SAMEA6990436,ERP122190,
ERR4276495,ERS4758532,SAMEA6990437,ERP122190,
ERR4276496,ERS4758533,SAMEA6990438,ERP122190,
ERR4276497,ERS4758534,SAMEA6990439,ERP122190,
ERR4276501,ERS4758535,SAMEA6990440,ERP122190,
ERR4276502,ERS4758536,SAMEA6990441,ERP122190,
ERR4276503,ERS4758537,SAMEA6990442,ERP122190,
ERR4276487,ERS4758538,SAMEA6990443,ERP122190,
ERR4276504,ERS4758539,SAMEA6990444,ERP122190,
ERR4276505,ERS4758540,SAMEA6990445,ERP122190,
ERR4276506,ERS4758541,SAMEA6990446,ERP122190,
ERR4276507,ERS4758542,SAMEA6990447,ERP122190,
ERR4276508,ERS4758543,SAMEA6990448,ERP122190,
ERR4276509,ERS4758544,SAMEA6990449,ERP122190,
ERR4276510,ERS4758545,SAMEA6990450,ERP122190,
ERR4276511,ERS4758546,SAMEA6990451,ERP122190,
ERR4276512,ERS4758547,SAMEA6990452,ERP122190,
ERR4276513,ERS4758548,SAMEA6990453,ERP122190,
ERR4276514,ERS4758549,SAMEA6990454,ERP122190,
ERR4276515,ERS4758550,SAMEA6990455,ERP122190,
ERR4276516,ERS4758551,SAMEA6990456,ERP122190,
ERR4276517,ERS4758552,SAMEA6990457,ERP122190,
ERR4276518,ERS4758553,SAMEA6990458,ERP122190,
ERR4276519,ERS4758554,SAMEA6990459,ERP122190,
ERR4276520,ERS4758555,SAMEA6990460,ERP122190,
ERR4276521,ERS4758556,SAMEA6990461,ERP122190,
ERR4276522,ERS4758557,SAMEA6990462,ERP122190,
ERR4276523,ERS4758558,SAMEA6990463,ERP122190,
ERR4276524,ERS4758559,SAMEA6990464,ERP122190,
ERR4276525,ERS4758560,SAMEA6990465,ERP122190,
ERR4276526,ERS4758561,SAMEA6990466,ERP122190,
ERR4276527,ERS4758562,SAMEA6990467,ERP122190,
ERR4276528,ERS4758563,SAMEA6990468,ERP122190,
ERR4276529,ERS4758564,SAMEA6990469,ERP122190,
ERR4276530,ERS4758565,SAMEA6990470,ERP122190,
ERR4276540,ERS4758566,SAMEA6990471,ERP122190,
ERR4276541,ERS4758567,SAMEA6990472,ERP122190,
ERR4276542,ERS4758568,SAMEA6990473,ERP122190,
ERR4276543,ERS4758569,SAMEA6990474,ERP122190,
ERR4276544,ERS4758570,SAMEA6990475,ERP122190,
ERR4276545,ERS4758571,SAMEA6990476,ERP122190,
ERR4276546,ERS4758572,SAMEA6990477,ERP122190,
ERR4276547,ERS4758573,SAMEA6990478,ERP122190,
ERR4276548,ERS4758574,SAMEA6990479,ERP122190,
ERR4276531,ERS4758575,SAMEA6990480,ERP122190,
ERR4276532,ERS4758576,SAMEA6990481,ERP122190,
ERR4276533,ERS4758577,SAMEA6990482,ERP122190,
ERR4276534,ERS4758578,SAMEA6990483,ERP122190,
ERR4276535,ERS4758579,SAMEA6990484,ERP122190,
ERR4276536,ERS4758580,SAMEA6990485,ERP122190,
ERR4276537,ERS4758581,SAMEA6990486,ERP122190,
ERR4276538,ERS4758582,SAMEA6990487,ERP122190,
ERR4276539,ERS4758583,SAMEA6990488,ERP122190,
ERR4276549,ERS4758584,SAMEA6990489,ERP122190,
ERR4276550,ERS4758585,SAMEA6990490,ERP122190,
ERR4276551,ERS4758586,SAMEA6990491,ERP122190,
ERR4276552,ERS4758587,SAMEA6990492,ERP122190,
ERR4276553,ERS4758588,SAMEA6990493,ERP122190,
ERR4276554,ERS4758589,SAMEA6990494,ERP122190,
ERR4276555,ERS4758590,SAMEA6990495,ERP122190,
ERR4276556,ERS4758591,SAMEA6990496,ERP122190,
ERR4276557,ERS4758592,SAMEA6990497,ERP122190,
ERR4276558,ERS4758593,SAMEA6990498,ERP122190,
SRR004257,SRS000923,SAMN00000647,SRP000287,
SRR203063,SRS192865,SAMN00264976,SRP006748,
SRR203251,SRS192868,SAMN00264979,SRP006748,
SRR330073,SRS257031,SAMN00708985,SRP007799,
SRR500789,SRS282668,SAMN00766224,SRP009821,
SRR500793,SRS282671,SAMN00766227,SRP009821,
SRR390913,SRS282762,SAMN00766318,SRP009870,
SRR546089,SRS304645,SAMN00839662,SRP011912,
SRR2063879,SRS961711,SAMN03761325,SRP011912,
SRR2063880,SRS961713,SAMN03761326,SRP011912,
SRR2063881,SRS961712,SAMN03761327,SRP011912,
SRR2063887,SRS961719,SAMN03761333,SRP011912,
SRR2063888,SRS961720,SAMN03761334,SRP011912,
SRR2063891,SRS961721,SAMN03761335,SRP011912,
SRR2063894,SRS961722,SAMN03761336,SRP011912,
SRR2063898,SRS961724,SAMN03761337,SRP011912,
SRR2063899,SRS961723,SAMN03761338,SRP011912,
SRR2063900,SRS961725,SAMN03761339,SRP011912,
SRR2063901,SRS961726,SAMN03761340,SRP011912,
SRR2063902,SRS961727,SAMN03761341,SRP011912,
SRR2063903,SRS961728,SAMN03761342,SRP011912,
SRR2063904,SRS961729,SAMN03761343,SRP011912,
SRR2063907,SRS961732,SAMN03761346,SRP011912,
SRR2063908,SRS961733,SAMN03761347,SRP011912,
SRR2063910,SRS961735,SAMN03761349,SRP011912,
SRR2063911,SRS961736,SAMN03761350,SRP011912,
SRR2063912,SRS961737,SAMN03761351,SRP011912,
SRR2063913,SRS961738,SAMN03761352,SRP011912,
SRR2063914,SRS961739,SAMN03761353,SRP011912,
SRR2063915,SRS961740,SAMN03761354,SRP011912,
SRR2063916,SRS961741,SAMN03761355,SRP011912,
SRR2063917,SRS961742,SAMN03761356,SRP011912,
SRR2063918,SRS961743,SAMN03761357,SRP011912,
SRR2063919,SRS961744,SAMN03761358,SRP011912,
SRR2063920,SRS961745,SAMN03761359,SRP011912,
SRR2063921,SRS961746,SAMN03761360,SRP011912,
SRR2063922,SRS961747,SAMN03761361,SRP011912,
SRR2063923,SRS961748,SAMN03761362,SRP011912,
SRR2063924,SRS961749,SAMN03761363,SRP011912,
SRR2063925,SRS961750,SAMN03761364,SRP011912,
SRR2063926,SRS961751,SAMN03761365,SRP011912,
SRR2063927,SRS961752,SAMN03761366,SRP011912,
SRR2063928,SRS961753,SAMN03761367,SRP011912,
SRR2063929,SRS961754,SAMN03761368,SRP011912,
SRR2063967,SRS961792,SAMN03761369,SRP011912,
SRR2063934,SRS961758,SAMN03761373,SRP011912,
SRR2063936,SRS961761,SAMN03761375,SRP011912,
SRR2063938,SRS961763,SAMN03761377,SRP011912,
SRR2063939,SRS961764,SAMN03761378,SRP011912,
SRR2063940,SRS961765,SAMN03761379,SRP011912,
SRR2063942,SRS961767,SAMN03761380,SRP011912,
SRR2063943,SRS961768,SAMN03761381,SRP011912,
SRR2063944,SRS961769,SAMN03761382,SRP011912,
SRR2063946,SRS961771,SAMN03761384,SRP011912,
SRR2063948,SRS961772,SAMN03761385,SRP011912,
SRR2063950,SRS961773,SAMN03761386,SRP011912,
SRR2063951,SRS961774,SAMN03761387,SRP011912,
SRR2063952,SRS961776,SAMN03761388,SRP011912,
SRR2063954,SRS961777,SAMN03761389,SRP011912,
SRR2063955,SRS961778,SAMN03761390,SRP011912,
SRR2063956,SRS961779,SAMN03761391,SRP011912,
SRR2063960,SRS961782,SAMN03761394,SRP011912,
SRR2063961,SRS961781,SAMN03761395,SRP011912,
SRR2063962,SRS961790,SAMN03761396,SRP011912,
SRR473084,SRS308474,SAMN00854514,SRP012136,
SRR494445,SRS312411,SAMN00991225,SRP012850,
SRR2529513,SRS1091378,SAMN04115772,SRP064234,
SRR5252540,SRS1975528,SAMN06329939,SRP099527,
SRR9420809,SRS5005916,SAMN12112979,SRP204072,
SRR9420820,SRS5005927,SAMN12112990,SRP204083,
SRR9420853,SRS5005960,SAMN12113023,SRP204116,
SRR9420864,SRS5005971,SAMN12113034,SRP204127,
SRR9420875,SRS5005982,SAMN12113045,SRP204138,
SRR9420886,SRS5005993,SAMN12113056,SRP204149,
SRR9420897,SRS5006004,SAMN12113067,SRP204160,
SRR9420919,SRS5006026,SAMN12113099,SRP204182,
SRR9421721,SRS5006748,SAMN12113857,SRP204915,
SRR9425839,SRS5010364,SAMN12118253,SRP208484,
SRR9425850,SRS5010375,SAMN12118264,SRP208495,
SRR9425861,SRS5010386,SAMN12118275,SRP208506,
SRR9425872,SRS5010397,SAMN12118286,SRP208517,
SRR9425885,SRS5010408,SAMN12118297,SRP208528,
SRR9425896,SRS5010420,SAMN12118308,SRP208539,
SRR9425918,SRS5010443,SAMN12118330,SRP208561,
SRR9426065,SRS5010465,SAMN12118352,SRP208583,
SRR9426084,SRS5010476,SAMN12118363,SRP208594,
SRR9426125,SRS5010487,SAMN12118374,SRP208605,
SRR9426136,SRS5010498,SAMN12118385,SRP208616,
SRR9426147,SRS5010509,SAMN12118396,SRP208627,
SRR9426158,SRS5010520,SAMN12118407,SRP208638,
SRR9426169,SRS5010569,SAMN12118418,SRP208650,
SRR9426180,SRS5010580,SAMN12118429,SRP208661,
SRR9426191,SRS5010591,SAMN12118440,SRP208672,
SRR9426202,SRS5010602,SAMN12118451,SRP208683,
SRR9426213,SRS5010613,SAMN12118462,SRP208694,
SRR9426223,SRS5010623,SAMN12118472,SRP208704,
SRR9426234,SRS5010634,SAMN12118483,SRP208715,
SRR9426245,SRS5010645,SAMN12118494,SRP208726,
SRR9426792,SRS5011168,SAMN12119015,SRP209247,
SRR9426803,SRS5011179,SAMN12119026,SRP209258,
SRR9427510,SRS5011810,SAMN12119500,SRP209734,
SRR9428183,SRS5012016,SAMN12119704,SRP209939,
SRR9428160,SRS5012016,SAMN12119704,SRP209939,
SRR9428178,SRS5012016,SAMN12119704,SRP209939,
SRR9428162,SRS5012016,SAMN12119704,SRP209939,
SRR9428139,SRS5012016,SAMN12119704,SRP209939,
SRR9428180,SRS5012016,SAMN12119704,SRP209939,
SRR9428144,SRS5012016,SAMN12119704,SRP209939,
SRR9428103,SRS5012016,SAMN12119704,SRP209939,
SRR9428168,SRS5012016,SAMN12119704,SRP209939,
SRR9428109,SRS5012016,SAMN12119704,SRP209939,
SRR9428140,SRS5012016,SAMN12119704,SRP209939,
SRR9428124,SRS5012016,SAMN12119704,SRP209939,
SRR9428181,SRS5012016,SAMN12119704,SRP209939,
SRR9428155,SRS5012016,SAMN12119704,SRP209939,
SRR9428150,SRS5012016,SAMN12119704,SRP209939,
SRR9428188,SRS5012016,SAMN12119704,SRP209939,
SRR9428142,SRS5012016,SAMN12119704,SRP209939,
SRR9428179,SRS5012016,SAMN12119704,SRP209939,
SRR9428114,SRS5012016,SAMN12119704,SRP209939,
SRR9428112,SRS5012016,SAMN12119704,SRP209939,
SRR9428182,SRS5012016,SAMN12119704,SRP209939,
SRR9428163,SRS5012016,SAMN12119704,SRP209939,
SRR9428185,SRS5012016,SAMN12119704,SRP209939,
SRR9428173,SRS5012016,SAMN12119704,SRP209939,
SRR9428194,SRS5012016,SAMN12119704,SRP209939,
SRR9428184,SRS5012016,SAMN12119704,SRP209939,
SRR9428159,SRS5012016,SAMN12119704,SRP209939,
SRR9428164,SRS5012016,SAMN12119704,SRP209939,
SRR9428105,SRS5012016,SAMN12119704,SRP209939,
SRR9428171,SRS5012016,SAMN12119704,SRP209939,
SRR9428136,SRS5012016,SAMN12119704,SRP209939,
SRR9428120,SRS5012016,SAMN12119704,SRP209939,
SRR9428132,SRS5012016,SAMN12119704,SRP209939,
SRR9428161,SRS5012016,SAMN12119704,SRP209939,
SRR9428107,SRS5012016,SAMN12119704,SRP209939,
SRR9428166,SRS5012016,SAMN12119704,SRP209939,
SRR9428110,SRS5012016,SAMN12119704,SRP209939,
SRR9428117,SRS5012016,SAMN12119704,SRP209939,
SRR9428154,SRS5012016,SAMN12119704,SRP209939,
SRR9428121,SRS5012016,SAMN12119704,SRP209939,
SRR9428193,SRS5012016,SAMN12119704,SRP209939,
SRR9428187,SRS5012016,SAMN12119704,SRP209939,
SRR9428113,SRS5012016,SAMN12119704,SRP209939,
SRR9428104,SRS5012016,SAMN12119704,SRP209939,
SRR9428148,SRS5012016,SAMN12119704,SRP209939,
SRR9428127,SRS5012016,SAMN12119704,SRP209939,
SRR9428099,SRS5012016,SAMN12119704,SRP209939,
SRR9428108,SRS5012016,SAMN12119704,SRP209939,
SRR9428135,SRS5012016,SAMN12119704,SRP209939,
SRR9428189,SRS5012016,SAMN12119704,SRP209939,
SRR9428128,SRS5012016,SAMN12119704,SRP209939,
SRR9428156,SRS5012016,SAMN12119704,SRP209939,
SRR9428143,SRS5012016,SAMN12119704,SRP209939,
SRR9428129,SRS5012016,SAMN12119704,SRP209939,
SRR9428130,SRS5012016,SAMN12119704,SRP209939,
SRR9428158,SRS5012016,SAMN12119704,SRP209939,
SRR9428149,SRS5012016,SAMN12119704,SRP209939,
SRR9428146,SRS5012016,SAMN12119704,SRP209939,
SRR9428176,SRS5012016,SAMN12119704,SRP209939,
SRR9428122,SRS5012016,SAMN12119704,SRP209939,
SRR9428137,SRS5012016,SAMN12119704,SRP209939,
SRR9428174,SRS5012016,SAMN12119704,SRP209939,
SRR9428102,SRS5012016,SAMN12119704,SRP209939,
SRR9428175,SRS5012016,SAMN12119704,SRP209939,
SRR9428101,SRS5012016,SAMN12119704,SRP209939,
SRR9428151,SRS5012016,SAMN12119704,SRP209939,
SRR9428152,SRS5012016,SAMN12119704,SRP209939,
SRR9428190,SRS5012016,SAMN12119704,SRP209939,
SRR9428125,SRS5012016,SAMN12119704,SRP209939,
SRR9428123,SRS5012016,SAMN12119704,SRP209939,
SRR9428157,SRS5012016,SAMN12119704,SRP209939,
SRR9428145,SRS5012016,SAMN12119704,SRP209939,
SRR9428138,SRS5012016,SAMN12119704,SRP209939,
SRR9428133,SRS5012016,SAMN12119704,SRP209939,
SRR9428115,SRS5012016,SAMN12119704,SRP209939,
SRR9428172,SRS5012016,SAMN12119704,SRP209939,
SRR9428192,SRS5012016,SAMN12119704,SRP209939,
SRR9428116,SRS5012016,SAMN12119704,SRP209939,
SRR9428131,SRS5012016,SAMN12119704,SRP209939,
SRR9428106,SRS5012016,SAMN12119704,SRP209939,
SRR9428141,SRS5012016,SAMN12119704,SRP209939,
SRR9428153,SRS5012016,SAMN12119704,SRP209939,
SRR9428177,SRS5012016,SAMN12119704,SRP209939,
SRR9428147,SRS5012016,SAMN12119704,SRP209939,
SRR9428191,SRS5012016,SAMN12119704,SRP209939,
SRR9428111,SRS5012016,SAMN12119704,SRP209939,
SRR9428134,SRS5012016,SAMN12119704,SRP209939,
SRR9428100,SRS5012016,SAMN12119704,SRP209939,
SRR9428119,SRS5012016,SAMN12119704,SRP209939,
SRR9428170,SRS5012016,SAMN12119704,SRP209939,
SRR9428186,SRS5012016,SAMN12119704,SRP209939,
SRR9428167,SRS5012016,SAMN12119704,SRP209939,
SRR9428165,SRS5012016,SAMN12119704,SRP209939,
SRR9428126,SRS5012016,SAMN12119704,SRP209939,
SRR9428118,SRS5012016,SAMN12119704,SRP209939,
SRR9428169,SRS5012016,SAMN12119704,SRP209939,
SRR9428206,SRS5012031,SAMN12119715,SRP209950,
SRR9429878,SRS5012360,SAMN12119930,SRP210114,
SRR9429880,SRS5012362,SAMN12119932,SRP210116,
SRR9429881,SRS5012363,SAMN12119933,SRP210117,
SRR9429882,SRS5012364,SAMN12119934,SRP210118,
SRR9429883,SRS5012365,SAMN12119935,SRP210119,
SRR9429884,SRS5012366,SAMN12119936,SRP210120,
SRR9429885,SRS5012367,SAMN12119937,SRP210121,
SRR9429886,SRS5012368,SAMN12119938,SRP210122,
SRR9429887,SRS5012369,SAMN12119939,SRP210123,
SRR9429888,SRS5012370,SAMN12119940,SRP210124,
SRR9429889,SRS5012371,SAMN12119941,SRP210125,
SRR9430058,SRS5012429,SAMN12119999,SRP210183,
SRR9430059,SRS5012429,SAMN12119999,SRP210183,
SRR9430147,SRS5012451,SAMN12120021,SRP210207,
SRR9430148,SRS5012452,SAMN12120022,SRP210208,
SRR9430938,SRS5012762,SAMN12120332,SRP210528,
SRR9430939,SRS5012763,SAMN12120333,SRP210529,
SRR9431143,SRS5012764,SAMN12120334,SRP210530,
SRR9431554,SRS5012764,SAMN12120334,SRP210530,
SRR9431353,SRS5012764,SAMN12120334,SRP210530,
SRR9431210,SRS5012764,SAMN12120334,SRP210530,
SRR9431282,SRS5012764,SAMN12120334,SRP210530,
SRR9430993,SRS5012764,SAMN12120334,SRP210530,
SRR9431549,SRS5012764,SAMN12120334,SRP210530,
SRR9431354,SRS5012764,SAMN12120334,SRP210530,
SRR9431167,SRS5012764,SAMN12120334,SRP210530,
SRR9431678,SRS5012764,SAMN12120334,SRP210530,
SRR9431223,SRS5012764,SAMN12120334,SRP210530,
SRR9431788,SRS5012764,SAMN12120334,SRP210530,
SRR9430952,SRS5012764,SAMN12120334,SRP210530,
SRR9431155,SRS5012764,SAMN12120334,SRP210530,
SRR9431220,SRS5012764,SAMN12120334,SRP210530,
SRR9431451,SRS5012764,SAMN12120334,SRP210530,
SRR9431700,SRS5012764,SAMN12120334,SRP210530,
SRR9431641,SRS5012764,SAMN12120334,SRP210530,
SRR9431222,SRS5012764,SAMN12120334,SRP210530,
SRR9431273,SRS5012764,SAMN12120334,SRP210530,
SRR9431292,SRS5012764,SAMN12120334,SRP210530,
SRR9431739,SRS5012764,SAMN12120334,SRP210530,
SRR9431706,SRS5012764,SAMN12120334,SRP210530,
SRR9431399,SRS5012764,SAMN12120334,SRP210530,
SRR9431193,SRS5012764,SAMN12120334,SRP210530,
SRR9431530,SRS5012764,SAMN12120334,SRP210530,
SRR9431199,SRS5012764,SAMN12120334,SRP210530,
SRR9431313,SRS5012764,SAMN12120334,SRP210530,
SRR9431257,SRS5012764,SAMN12120334,SRP210530,
SRR9431686,SRS5012764,SAMN12120334,SRP210530,
SRR9431486,SRS5012764,SAMN12120334,SRP210530,
SRR9431317,SRS5012764,SAMN12120334,SRP210530,
SRR9431014,SRS5012764,SAMN12120334,SRP210530,
SRR9431381,SRS5012764,SAMN12120334,SRP210530,
SRR9431195,SRS5012764,SAMN12120334,SRP210530,
SRR9431297,SRS5012764,SAMN12120334,SRP210530,
SRR9431066,SRS5012764,SAMN12120334,SRP210530,
SRR9431707,SRS5012764,SAMN12120334,SRP210530,
SRR9431124,SRS5012764,SAMN12120334,SRP210530,
SRR9431545,SRS5012764,SAMN12120334,SRP210530,
SRR9431284,SRS5012764,SAMN12120334,SRP210530,
SRR9431499,SRS5012764,SAMN12120334,SRP210530,
SRR9431654,SRS5012764,SAMN12120334,SRP210530,
SRR9431624,SRS5012764,SAMN12120334,SRP210530,
SRR9431012,SRS5012764,SAMN12120334,SRP210530,
SRR9431241,SRS5012764,SAMN12120334,SRP210530,
SRR9431609,SRS5012764,SAMN12120334,SRP210530,
SRR9431453,SRS5012764,SAMN12120334,SRP210530,
SRR9431064,SRS5012764,SAMN12120334,SRP210530,
SRR9431635,SRS5012764,SAMN12120334,SRP210530,
SRR9431411,SRS5012764,SAMN12120334,SRP210530,
SRR9431333,SRS5012764,SAMN12120334,SRP210530,
SRR9431263,SRS5012764,SAMN12120334,SRP210530,
SRR9431574,SRS5012764,SAMN12120334,SRP210530,
SRR9431552,SRS5012764,SAMN12120334,SRP210530,
SRR9431112,SRS5012764,SAMN12120334,SRP210530,
SRR9431796,SRS5012764,SAMN12120334,SRP210530,
SRR9431224,SRS5012764,SAMN12120334,SRP210530,
SRR9431474,SRS5012764,SAMN12120334,SRP210530,
SRR9431157,SRS5012764,SAMN12120334,SRP210530,
SRR9431515,SRS5012764,SAMN12120334,SRP210530,
SRR9431767,SRS5012764,SAMN12120334,SRP210530,
SRR9431456,SRS5012764,SAMN12120334,SRP210530,
SRR9431665,SRS5012764,SAMN12120334,SRP210530,
SRR9431445,SRS5012764,SAMN12120334,SRP210530,
SRR9431231,SRS5012764,SAMN12120334,SRP210530,
SRR9431722,SRS5012764,SAMN12120334,SRP210530,
SRR9431034,SRS5012764,SAMN12120334,SRP210530,
SRR9431166,SRS5012764,SAMN12120334,SRP210530,
SRR9431480,SRS5012764,SAMN12120334,SRP210530,
SRR9431229,SRS5012764,SAMN12120334,SRP210530,
SRR9431074,SRS5012764,SAMN12120334,SRP210530,
SRR9431248,SRS5012764,SAMN12120334,SRP210530,
SRR9431784,SRS5012764,SAMN12120334,SRP210530,
SRR9431536,SRS5012764,SAMN12120334,SRP210530,
SRR9431324,SRS5012764,SAMN12120334,SRP210530,
SRR9431438,SRS5012764,SAMN12120334,SRP210530,
SRR9431778,SRS5012764,SAMN12120334,SRP210530,
SRR9431350,SRS5012764,SAMN12120334,SRP210530,
SRR9430978,SRS5012764,SAMN12120334,SRP210530,
SRR9431475,SRS5012764,SAMN12120334,SRP210530,
SRR9431078,SRS5012764,SAMN12120334,SRP210530,
SRR9431168,SRS5012764,SAMN12120334,SRP210530,
SRR9430992,SRS5012764,SAMN12120334,SRP210530,
SRR9430945,SRS5012764,SAMN12120334,SRP210530,
SRR9431644,SRS5012764,SAMN12120334,SRP210530,
SRR9431073,SRS5012764,SAMN12120334,SRP210530,
SRR9431774,SRS5012764,SAMN12120334,SRP210530,
SRR9431776,SRS5012764,SAMN12120334,SRP210530,
SRR9431164,SRS5012764,SAMN12120334,SRP210530,
SRR9431501,SRS5012764,SAMN12120334,SRP210530,
SRR9431013,SRS5012764,SAMN12120334,SRP210530,
SRR9431331,SRS5012764,SAMN12120334,SRP210530,
SRR9431321,SRS5012764,SAMN12120334,SRP210530,
SRR9431413,SRS5012764,SAMN12120334,SRP210530,
SRR9431612,SRS5012764,SAMN12120334,SRP210530,
SRR9430967,SRS5012764,SAMN12120334,SRP210530,
SRR9431617,SRS5012764,SAMN12120334,SRP210530,
SRR9431135,SRS5012764,SAMN12120334,SRP210530,
SRR9431385,SRS5012764,SAMN12120334,SRP210530,
SRR9431289,SRS5012764,SAMN12120334,SRP210530,
SRR9431361,SRS5012764,SAMN12120334,SRP210530,
SRR9431198,SRS5012764,SAMN12120334,SRP210530,
SRR9431472,SRS5012764,SAMN12120334,SRP210530,
SRR9431079,SRS5012764,SAMN12120334,SRP210530,
SRR9431160,SRS5012764,SAMN12120334,SRP210530,
SRR9431188,SRS5012764,SAMN12120334,SRP210530,
SRR9431395,SRS5012764,SAMN12120334,SRP210530,
SRR9431018,SRS5012764,SAMN12120334,SRP210530,
SRR9430948,SRS5012764,SAMN12120334,SRP210530,
SRR9431022,SRS5012764,SAMN12120334,SRP210530,
SRR9431488,SRS5012764,SAMN12120334,SRP210530,
SRR9431757,SRS5012764,SAMN12120334,SRP210530,
SRR9431613,SRS5012764,SAMN12120334,SRP210530,
SRR9431681,SRS5012764,SAMN12120334,SRP210530,
SRR9431575,SRS5012764,SAMN12120334,SRP210530,
SRR9431551,SRS5012764,SAMN12120334,SRP210530,
SRR9431057,SRS5012764,SAMN12120334,SRP210530,
SRR9431648,SRS5012764,SAMN12120334,SRP210530,
SRR9431804,SRS5012764,SAMN12120334,SRP210530,
SRR9431326,SRS5012764,SAMN12120334,SRP210530,
SRR9431756,SRS5012764,SAMN12120334,SRP210530,
SRR9431279,SRS5012764,SAMN12120334,SRP210530,
SRR9431484,SRS5012764,SAMN12120334,SRP210530,
SRR9431272,SRS5012764,SAMN12120334,SRP210530,
SRR9431133,SRS5012764,SAMN12120334,SRP210530,
SRR9431723,SRS5012764,SAMN12120334,SRP210530,
SRR9430951,SRS5012764,SAMN12120334,SRP210530,
SRR9431380,SRS5012764,SAMN12120334,SRP210530,
SRR9431244,SRS5012764,SAMN12120334,SRP210530,
SRR9431054,SRS5012764,SAMN12120334,SRP210530,
SRR9431694,SRS5012764,SAMN12120334,SRP210530,
SRR9431202,SRS5012764,SAMN12120334,SRP210530,
SRR9431604,SRS5012764,SAMN12120334,SRP210530,
SRR9431207,SRS5012764,SAMN12120334,SRP210530,
SRR9431270,SRS5012764,SAMN12120334,SRP210530,
SRR9431053,SRS5012764,SAMN12120334,SRP210530,
SRR9431144,SRS5012764,SAMN12120334,SRP210530,
SRR9431430,SRS5012764,SAMN12120334,SRP210530,
SRR9431293,SRS5012764,SAMN12120334,SRP210530,
SRR9431675,SRS5012764,SAMN12120334,SRP210530,
SRR9431081,SRS5012764,SAMN12120334,SRP210530,
SRR9431548,SRS5012764,SAMN12120334,SRP210530,
SRR9431349,SRS5012764,SAMN12120334,SRP210530,
SRR9431527,SRS5012764,SAMN12120334,SRP210530,
SRR9431727,SRS5012764,SAMN12120334,SRP210530,
SRR9431221,SRS5012764,SAMN12120334,SRP210530,
SRR9431525,SRS5012764,SAMN12120334,SRP210530,
SRR9430974,SRS5012764,SAMN12120334,SRP210530,
SRR9431493,SRS5012764,SAMN12120334,SRP210530,
SRR9431228,SRS5012764,SAMN12120334,SRP210530,
SRR9431309,SRS5012764,SAMN12120334,SRP210530,
SRR9431692,SRS5012764,SAMN12120334,SRP210530,
SRR9430975,SRS5012764,SAMN12120334,SRP210530,
SRR9431676,SRS5012764,SAMN12120334,SRP210530,
SRR9431400,SRS5012764,SAMN12120334,SRP210530,
SRR9431040,SRS5012764,SAMN12120334,SRP210530,
SRR9431051,SRS5012764,SAMN12120334,SRP210530,
SRR9431631,SRS5012764,SAMN12120334,SRP210530,
SRR9431147,SRS5012764,SAMN12120334,SRP210530,
SRR9431096,SRS5012764,SAMN12120334,SRP210530,
SRR9431592,SRS5012764,SAMN12120334,SRP210530,
